"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	Die erste der 78 Empfehlungen ist, dass eine neue diplomatische Initiative vor Ende dieses Jahres ergriffen werden sollte, um die irakischen Grenzen gegenüber feindlichen Interventionen zu sichern und diplomatische Beziehungen mit seinen Nachbarn wiederherzustellen.	Zu seinen 78 Empfehlungen gehört zunächst, dass vor Ende dieses Jahres eine neue diplomatische Initiative ergriffen werden sollte, um die Grenzen des Irak gegen feindliche Interventionen zu sichern und die diplomatischen Beziehungen zu seinen Nachbarn wiederherzustellen.	The first of the 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq's borders against hostile interventions and to restore diplomatic relations with its neighbours.
Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	Die derzeitige Senatorin und argentinische First Lady Cristina Fernandez de Kirchner gab gestern Abend in La Plata, einer Stadt 50 Kilometer von Buenos Aires entfernt, ihre Präsidentschaftskandidatur bekannt.	Die aktuelle Senatorin und argentinische First Lady Cristina Fernandez de Kirchner kündigte gestern Abend ihre Präsidentschaftskandidatur in La Plata an, einer Stadt, die 50 Kilometer von Buenos Aires entfernt liegt.	The current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidate last night in La Plata, a city 50 kilometres from Buenos Aires.
Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.	Frau Kirchner kündigte ihre Absicht, als Präsidentin zu kandidieren, im Argentinischen Theater an. Dort begann sie 2005 auch ihre Kampagne für den Senat als Mitglied der Delegation der Provinz Buenos Aires.	Frau Kirchner kündigte ihre Absicht an, als Präsidentin am argentinischen Theater zu kandidieren, an dem Ort, an dem sie 2005 ihre Kampagne für den Senat als Mitglied der Delegation der Provinz Buenos Aires startete.	Ms Kirchner announced her intention to run as President at the Argentine Theatre, where she also started her campaign for the Senate as a member of the Buenos Aires Province delegation in 2005.
The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled "Bush's New Orleans Deal."	"Auslöser der Debatte war eine Kontroverse über die Ausgaben für die Nothilfe und den Wiederaufbau nach dem Hurrikan Katrina, die einige fiskalisch Konservative humorvoll als ""Bushs New Orleans-Deal"" bezeichnet haben. "	Die Debatte wurde durch eine Kontroverse über die Ausgaben für Hilfe und Wiederaufbau im Gefolge des Hurrikans Katrina ausgelöst, den einige Fiskalkonservative humorvoll als "Bush's New Orleans Deal" bezeichnet haben.	"The debate was triggered by a controversy over the expenditure on emergency aid and reconstruction after Hurricane Katrina, which some Fiscal conservatives have humorously described as "Bush's New Orleans deal."
Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.	Die Kritik der Liberalen am Wiederaufbauprozess hat sich darauf konzentriert, dass Aufträge für den Wiederaufbau an vermeintliche Insider in Washingtoner vergeben wurden.	Liberale Kritik an den Wiederaufbaubemühungen konzentrierte sich auf die Vergabe von Wiederaufbauaufträgen an wahrgenommene Washingtoner Insider.	The liberals' criticism of the reconstruction process has focused on the fact that contracts for reconstruction were awarded to supposed insiders in Washington.
Over four million people went to Rome to attend the funeral.	Es kamen mehr als vier Millionen Menschen nach Rom, um an der Beerdigung teilzunehmen.	Über vier Millionen Menschen gingen nach Rom, um an der Beerdigung teilzunehmen.	More than four million people came to Rome to attend the funeral.
The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.	Die Teilnehmerzahl war so groß, dass es nicht allen möglich war, Zugang zur Bestattung auf dem Petersplatz zu erhalten.	Die Zahl der Anwesenden war so groß, dass es nicht allen möglich war, Zugang zur Beerdigung auf dem Petersplatz zu erhalten.	The number of participants was so large that it was not possible for everyone to get access to the burial place on St. Peter's Square.
Several large television screens were installed in various places in Rome to let the people watch the ceremony.	Mehrere große Fernsehschirme wurden an verschiedenen Orten in Rom aufgestellt, so dass die Leute die Zeremonie ansehen konnten.	Mehrere große Fernsehbildschirme wurden an verschiedenen Orten in Rom installiert, um die Menschen die Zeremonie ansehen zu lassen.	Several large TV screens were set up in different places in Rome, so people could watch the ceremony.
In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.	In vielen anderen Städten in Italien und dem Rest der Welt, besonders in Polen, wurden ähnliche Einrichtungen installiert, die von zahlreichen Menschen gesehen wurden.	In vielen anderen Städten Italiens und der übrigen Welt, insbesondere in Polen, wurden ähnliche Einrichtungen geschaffen, die von einer großen Anzahl von Menschen gesehen wurden.	In many other cities in Italy and the rest of the world, especially in Poland, similar facilities were installed, which were seen by numerous people.
Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.	Historiker haben die Politik des FBI aus früherer Zeit kritisiert, seine Ressourcen in der Absicht, die Erfolgsquote der Behörde zu steigern, auf einfach zu lösende Fälle, insbesondere auf Fälle von Autodiebstahl, zu konzentrieren.	Historiker haben frühere FBI-Politiken kritisiert, um Ressourcen auf Fälle zu konzentrieren, die leicht zu lösen sind, insbesondere gestohlene Autofälle, mit der Absicht, die Erfolgsrate der Agentur zu steigern.	Historians have criticized the FBI's policy of previous times to focus its resources on easy-to-solve cases, especially cases of car theft, in order to increase the Authority's success rate.
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.	Der Kongress begann im August 2005 mit der Finanzierung der anti-Obszönitätsinitiative und legte fest, dass das FBI 10 Agenten für die Erwachsenenpornographie einsetzen muss.	Der Kongress begann die Obszönitätsinitiative im Geschäftsjahr 2005 zu finanzieren und präzisierte, dass das FBI 10 Agenten für die Pornographie von Erwachsenen einsetzen muss.	Congress began financing the anti-obscenity initiative in August 2005 and stated that the FBI must employ 10 agents for adult pornography.
Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.	Robin Uthappa erreichte die höchste Punktzahl der Innings, 70 Punkte bei nur 41 Bällen, indem er 11 Vierer und 2 Sechser schlug.	Robin Uthappa machte die Innings höchste Punktzahl, 70 läuft in nur 41 Bällen, indem er 11 Vierer und 2 Sechser schlug.	Robin Uthappa reached the highest score of the innings, 70 points at only 41 balls by beating 11 fours and 2 sixs.
Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.	Die Schlagmänner der mittleren Reihe, Sachin Tendulkar und Rahul Dravid, zeigten gute Leistungen und erzielten eine Partnerschaft mit 100 Runs.	Naher Ordnung Fledermäuse, Sachin Tendulkar und Rahul Dravid, gut durchgeführt und machte eine hundertjährige Partnerschaft.	The mid-row batons, Sachin Tendulkar and Rahul Dravid, showed good performance and achieved a partnership with 100 runs.
But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.	Doch nach dem Verlust des Tors des Kapitäns erzielte Indien nur 36 Runden und verlor 7 Tore, womit die Innings beendet waren.	Aber nach dem Verlust des Kapitäns Wicket Indien nur 36 Runs Losing 7 Wickets, um die Innings zu beenden.	However, after losing the captain's goal, India only scored 36 laps and lost 7 goals, finishing the innings.
U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.	Der US-amerikanische Präsident George W. Bush traf am 16. November morgens in Singapur ein und begann eine einwöchige Reise durch Asien.	US-Präsident George W. Bush kam am Morgen des 16. November in Singapur an und begann eine einwöchige Asien-Tournee.	US President George W. Bush arrived in Singapore on November 16 in the morning and began a week-long trip through Asia.
He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.	Er wurde von Wong Kan Seng, dem stellvertretenden Premierminister Singapurs, begrüßt und sprach mit Lee Hsien Loong, dem Premierminister Singapurs, über Handels- und Terrorismusangelegenheiten.	Er wurde von Singapurs Vize-Premierminister Wong Kan Seng begrüßt und diskutierte Handels- und Terrorismusfragen mit dem Singapur-Premierminister Lee Hsien Loong.	He was welcomed by Wong Kan Seng, Singapore's Deputy Prime Minister, and spoke to Lee Hsien Loong, Singapore's Prime Minister, about trade and terrorism issues.
After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.	Nach einer Woche voller Verluste in der Zwischenwahl erzählte Bush dem Publikum von der Ausweitung des Handels in Asien.	Nach einer Woche Verlust bei der Halbzeitwahl erzählte Bush einem Publikum von der Ausweitung des Handels in Asien.	After a week of losses in the interim election, Bush told the audience about the expansion of trade in Asia.
Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.	"Premierminister Stephen Harper hat nach einem 25-minütigen Treffen mit NDP-Leader Jack Layton am Dienstag im PMO zugestimmt, den ""Clean Air Act"" der Regierung an ein Komitee aller Parteien zur Prüfung vor der zweiten Anhörung zu schicken."	Premierminister Stephen Harper hat sich bereit erklärt, den "Clean Air Act" der Regierung vor seiner zweiten Lesung, nach dem 25-minütigen Treffen mit dem NDP-Führer Jack Layton bei der PMO, in ein parteiübergreifendes Komitee zur Überprüfung zu entsenden.	"After a 25-minute meeting with NDP leader Jack Layton at the PMO on Tuesday, Prime Minister Stephen Harper agreed to send the "Clean Air Act" of the government to a committee of all parties for consideration before the second hearing."
